Peak ID	Name	Scan	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Estimated noise	S/N	Sharpness	Gaussian similarity	Ideal slope	Symmetry	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	m/z similarity	Simple dot product	Weighted dot product	Reverse dot product	Matched peaks count	Matched peaks percentage	Total score	S/N	MS1 isotopes	MSMS spectrum
42	Unknown	1432	5.417	5.581	5.710	135.96895	1391	14246	89.943	14.82613	6.205	0.816	0.989	0.846		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	14.82613	135.96895:2142	76.96832:2828 94.97945:786
43	Unknown	1432	5.424	5.581	5.899	154.08736	2391	20693	83.855	28.51493	10.065	0.779	0.995	0.724		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	28.51493	154.08736:4032 155.08990:296	76.96933:822
44	Unknown	1446	5.542	5.636	5.730	100.95923	2297	16734	94.496	21.62784	10.000	0.888	0.981	0.837		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	21.62784	100.95923:7782	100.95953:3708
45	no MS2: CREATININE	1710	6.426	6.595	6.796	112.04975	1572	17060	132.415	10.61721	3.052	0.795	0.997	0.921		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	112.05100	C4H7N3O	Alpha amino acids and derivatives	DDRJAANPRJIHGJ-UHFFFAOYSA-N	O=C1N=C(N)N(C)C1	530	False	True	False	0.00	0.99	0.000	0.000	0.000	-1.00	-1.00	0.329	10.61721	112.04975:1988	null
46	Unknown	1875	7.039	7.197	7.350	61.98696	11450	185882	104.116	26.36004	1.981	0.870	0.983	0.386		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	26.36004	61.98696:10810	null
47	Unknown	1879	7.011	7.212	7.274	146.96460	4454	48040	1.000	3141.00000	2.951	0.679	1.000	0.220		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	3141.00000	146.96460:5314	61.98696:3506
48	Unknown	2045	7.728	7.793	7.925	61.98676	7150	75065	104.116	26.67819	1.974	0.798	0.985	0.364		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	26.67819	61.98676:8098	null
49	no MS2: (6-Fluoro-1H-benzimidazol-2-yl)methanol	2205	8.157	8.365	8.503	201.02538	3904	62853	113.268	17.22247	1.748	0.903	0.991	0.654		[M+Cl]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	201.02361	C8H7FN2O	null	WFGVOSSDGZOYNE-UHFFFAOYSA-N		530	False	True	False	0.00	0.98	0.000	0.000	0.000	-1.00	-1.00	0.326	17.22247	201.02538:3928 202.02713:1030 203.02403:614	null
50	low score: Uric acid	2349	8.526	8.869	9.061	167.02162	2442	22352	1.000	2442.12500	3.464	0.850	1.000	0.635		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	167.02110	C5H4N4O3	null	LEHOTFFKMJEONL-UHFFFAOYSA-N		530	False	True	False	0.00	1.00	0.594	0.709	0.844	1.00	0.20	1.465	2442.12500	167.02162:2782	79.95565:1114 124.01322:954
51	low score: Xanthone	2506	9.100	9.450	9.648	195.05139	1833	37255	48.135	35.84673	2.180	0.913	0.988	0.768		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	195.04520	C13H8O2	Xanthones	JNELGWHKGNBSMD-UHFFFAOYSA-N	O=C1C=2C=CC=CC2OC=3C=CC=CC31	530	False	True	False	0.00	0.83	0.138	0.790	0.191	1.00	0.11	0.959	35.84673	195.05139:2192	76.96835:696 176.92949:738
52	Unknown	2523	9.061	9.516	9.648	154.94760	7902	137949	108.052	71.82795	4.598	0.885	0.999	0.765		[M-H2O-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	71.82795	154.94760:8896 155.94640:1118 156.94585:670	76.96828:2946 94.97864:710 136.93436:700 154.94695:1394
53	Unknown	2523	9.107	9.516	9.822	172.95834	14229	342083	125.247	107.66410	5.600	0.816	1.000	0.952		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	107.66410	172.95834:15620 173.95793:1456 174.95457:1016	76.96864:15246 77.96903:708 78.96615:592 136.93544:9538 137.93483:1022 138.93256:742 154.94728:23922 155.94693:2888 156.94449:1828
54	low score: Methanesulfonate	2525	9.133	9.523	9.978	94.97898	12310	383947	234.187	43.64302	4.303	0.861	1.000	0.897		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	94.98083	CH4O3S	Organosulfonic acids	AFVFQIVMOAPDHO-UHFFFAOYSA-N	CS(O)(=O)=O	530	False	True	False	0.00	0.98	0.000	0.000	0.000	0.00	0.00	0.491	43.64302	94.97898:13714 95.97839:862 96.97588:552	76.96786:3040
